"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","24-Sep-2026","1,256.70","1,251.00","1,263.30","1,242.80","1,243.60","1,243.60","1,250.91","8,22,109","1,02,83,87,983.20","34,362","3,50,113","42.59"
"HCLTECH","EQ","23-Sep-2026","1,270.40","1,270.00","1,279.80","1,250.00","1,256.70","1,256.70","1,262.40","27,24,431","3,43,93,35,222.10","65,117","15,89,774","58.35"
"HCLTECH","EQ","22-Sep-2026","1,281.00","1,280.00","1,286.10","1,240.30","1,270.40","1,270.40","1,264.14","26,80,986","3,38,91,38,095.60","81,922","9,14,584","34.11"
"HCLTECH","EQ","21-Sep-2026","1,249.30","1,242.30","1,284.90","1,237.30","1,281.00","1,281.00","1,274.23","27,51,906","3,50,65,66,025.40","70,202","12,31,761","44.76"
"HCLTECH","EQ","18-Sep-2026","1,258.30","1,258.30","1,260.80","1,235.60","1,249.30","1,249.30","1,245.06","28,86,447","3,59,37,99,548.90","68,284","18,04,403","62.51"
"HCLTECH","EQ","17-Sep-2026","1,253.00","1,242.20","1,258.30","1,235.30","1,258.30","1,258.30","1,246.10","13,86,250","1,72,74,00,531.00","48,090","5,97,123","43.07"
"HCLTECH","EQ","16-Sep-2026","1,253.70","1,262.50","1,284.60","1,244.90","1,253.00","1,253.00","1,264.46","30,49,093","3,85,54,62,593.00","81,049","13,04,259","42.78"
"HCLTECH","EQ","15-Sep-2026","1,206.10","1,252.00","1,290.00","1,250.00","1,253.70","1,253.70","1,274.69","44,43,984","5,66,46,89,912.00","1,34,519","13,75,726","30.96"
"HCLTECH","EQ","11-Sep-2026","1,207.00","1,196.00","1,223.40","1,195.70","1,206.10","1,206.10","1,213.93","22,72,845","2,75,90,78,573.60","89,360","9,65,924","49.59"
"HCLTECH","EQ","10-Sep-2026","1,229.80","1,224.80","1,237.00","1,196.90","1,207.00","1,207.00","1,212.41","21,97,859","2,66,47,08,599.90","80,207","9,54,103","43.41"
"HCLTECH","EQ","09-Sep-2026","1,277.00","1,248.80","1,264.80","1,222.70","1,229.80","1,229.80","1,235.52","20,99,173","2,59,35,71,106.00","79,263","8,56,018","40.78"
"HCLTECH","EQ","08-Sep-2026","1,282.80","1,281.40","1,290.00","1,268.20","1,277.00","1,277.00","1,278.90","22,41,262","2,86,63,55,397.30","66,352","12,23,799","54.60"
"HCLTECH","EQ","07-Sep-2026","1,293.40","1,271.70","1,286.80","1,263.00","1,282.80","1,282.80","1,273.02","20,08,363","2,55,66,90,581.40","61,309","9,38,694","46.74"
"HCLTECH","EQ","04-Sep-2026","1,319.00","1,324.90","1,331.40","1,291.20","1,293.40","1,293.40","1,304.89","22,10,569","2,88,45,45,119.50","71,268","13,65,474","61.77"
"HCLTECH","EQ","03-Sep-2026","1,331.50","1,345.00","1,345.00","1,308.00","1,319.00","1,319.00","1,316.34","15,15,496","1,99,49,13,483.60","47,197","8,38,245","55.31"
"HCLTECH","EQ","02-Sep-2026","1,351.40","1,340.10","1,349.30","1,317.40","1,331.50","1,331.50","1,331.02","27,39,386","3,64,61,72,791.00","74,188","14,55,738","53.14"
"HCLTECH","EQ","01-Sep-2026","1,312.20","1,316.10","1,368.00","1,313.10","1,351.40","1,351.40","1,350.54","40,31,856","5,44,51,72,209.60","1,03,062","16,52,798","40.99"
"HCLTECH","EQ","31-Aug-2026","1,316.10","1,316.60","1,322.60","1,297.70","1,312.20","1,312.20","1,313.07","31,25,051","4,10,33,96,286.60","44,870","21,16,968","67.74"
"HCLTECH","EQ","28-Aug-2026","1,282.00","1,290.00","1,334.20","1,290.00","1,316.10","1,316.10","1,318.13","34,59,476","4,56,00,31,668.30","91,276","16,77,544","48.49"
"HCLTECH","EQ","27-Aug-2026","1,298.50","1,295.00","1,304.70","1,280.00","1,282.00","1,282.00","1,286.91","19,36,771","2,49,24,45,917.70","69,854","11,41,437","58.94"
"HCLTECH","EQ","26-Aug-2026","1,315.80","1,319.50","1,323.00","1,296.60","1,298.50","1,298.50","1,304.83","8,34,925","1,08,94,38,791.70","33,956","4,45,018","53.30"
"HCLTECH","EQ","25-Aug-2026","1,322.00","1,322.00","1,322.90","1,294.40","1,315.80","1,315.80","1,305.10","13,14,934","1,71,61,15,057.00","61,695","5,49,413","41.78"
"HCLTECH","EQ","24-Aug-2026","1,302.50","1,302.50","1,325.80","1,301.00","1,322.00","1,322.00","1,318.31","10,91,648","1,43,91,32,498.30","50,508","5,94,901","54.50"
"HCLTECH","EQ","21-Aug-2026","1,318.40","1,319.90","1,321.70","1,302.50","1,302.50","1,302.50","1,309.72","14,84,443","1,94,42,08,577.60","42,456","9,90,001","66.69"
"HCLTECH","EQ","20-Aug-2026","1,324.80","1,339.70","1,345.30","1,318.40","1,318.40","1,318.40","1,326.83","15,10,868","2,00,46,63,327.00","62,256","7,81,864","51.75"
"HCLTECH","EQ","19-Aug-2026","1,298.00","1,309.00","1,324.80","1,301.40","1,324.80","1,324.80","1,316.02","16,93,632","2,22,88,57,485.20","49,448","5,55,317","32.79"
"HCLTECH","EQ","18-Aug-2026","1,325.00","1,318.00","1,320.00","1,292.50","1,298.00","1,298.00","1,300.63","30,56,990","3,97,60,27,860.50","74,688","19,28,909","63.10"
